Well_Name,Program,Expedition,Site,Hole,Oceanic_Region,Longitude,Latitude,Spud_Date,Completion_Date,Water_Depth_(m),Number_of_Cores,Total_Penetration_(mbsf),Interval_Cored_(m),Core_Recovered_(m),%_Recovered,Reported_Age_of_Oldest_Sediment_Recovered,Oldest_Sediment_Lithology,Oldest_Sediment_Subbottom_Depth,EGI_Synthesized,Well_Logging,Data_Source,depth_age_model_page_from_data_source,Lithology,Paleowater_depth,Depth_Age_model,fossil_zones
IODP 317-U1351C,IODP,317,U1351,C,South Pacific Ocean,171.84,-44.8843,"Nov 4, 2009","Jan 3, 2010",126.22,1,967.3,967.3,438,0,NA,,N/A,,,http://publications.iodp.org/proceedings/317/317title.htm,,1,1,0,1
IODP 317-U1352A,IODP,317,U1352,A,South Pacific Ocean,172.023,-44.9374,"Nov 4, 2009","Jan 3, 2010",348.32,5,42.2,42.2,7.6,104.0758294,NA,sandy mud,38.2,,,http://publications.iodp.org/proceedings/317/317title.htm,6,0,1,1,0
IODP 317-U1352B,IODP,317,U1352,B,South Pacific Ocean,172.023,-44.9376,"Nov 4, 2009","Jan 3, 2010",348.12,94,830.9,830.9,302,73.88012998,NA,calcareous sandy silt,821.7,,,http://publications.iodp.org/proceedings/317/317title.htm,6,0,1,1,0
IODP 317-U1352C,IODP,317,U1352,C,South Pacific Ocean,172.023,-44.9378,"Nov 4, 2009","Jan 3, 2010",348.12,148,1927.5,1927.5,121,34.05966278,NA,limestone,1923,,,http://publications.iodp.org/proceedings/317/317title.htm,6,0,1,1,0
IODP 317-U1352D,IODP,317,U1352,D,South Pacific Ocean,172.023,-44.9372,"Nov 4, 2009","Jan 3, 2010",338.92,14,127,127,35,103.0236221,NA,,N/A,,,http://publications.iodp.org/proceedings/317/317title.htm,6,0,1,1,0
IODP 317-U1353A,IODP,317,U1353,A,South Pacific Ocean,171.674,-44.7685,"Nov 4, 2009","Jan 3, 2010",89.32,8,56,56,40,100.6785714,NA,,N/A,,,http://publications.iodp.org/proceedings/317/317title.htm,,1,1,0,1
IODP 317-U1353B,IODP,317,U1353,B,South Pacific Ocean,171.674,-44.7687,"Nov 4, 2009","Jan 3, 2010",89.82,98,614.3,614.3,46,34.42617614,NA,sandy mud,604.6,,,http://publications.iodp.org/proceedings/317/317title.htm,,1,1,0,1
IODP 317-U1353C,IODP,317,U1353,C,South Pacific Ocean,171.674,-44.7683,"Nov 4, 2009","Jan 3, 2010",89.82,1,529,529,39,0,NA,,N/A,,,http://publications.iodp.org/proceedings/317/317title.htm,,1,1,0,1
IODP 317-U1354A,IODP,317,U1354,A,South Pacific Ocean,171.787,-44.8471,"Nov 4, 2009","Jan 3, 2010",115.12,19,85.4,85.4,46,98.86416862,NA,sandy marl,85,,,http://publications.iodp.org/proceedings/317/317title.htm,,1,1,0,1
IODP 317-U1354B,IODP,317,U1354,B,South Pacific Ocean,171.787,-44.8473,"Nov 4, 2009","Jan 3, 2010",118.72,15,77.2,77.2,26,100.4145078,NA,sandy shelly marl,75.1,,,http://publications.iodp.org/proceedings/317/317title.htm,,1,1,0,1
IODP 317-U1354C,IODP,317,U1354,C,South Pacific Ocean,171.787,-44.8475,"Nov 4, 2009","Jan 3, 2010",118.72,36,384.2,384.2,47,34.71369079,NA,sandy mud,375,,,http://publications.iodp.org/proceedings/317/317title.htm,,1,1,0,1
IODP 318-U1355A,IODP,318,U1355,A,Southern Ocean,138.824,-63.8412,"Jan 3, 2010","Mar 8, 2010",3733.52,4,31.7,31.7,141,47.16088328,NA,coarse sand to very coarse sand,24.92,,,http://publications.iodp.org/preliminary_report/318/,,1,0,0,0
IODP 318-U1356A,IODP,318,U1356,A,Southern Ocean,135.999,-63.3102,"Jan 3, 2010","Mar 8, 2010",3996.62,106,1006.4,1006.4,216,34.79034181,NA,clay,999,,,http://publications.iodp.org/preliminary_report/318/,,1,0,0,0
IODP 318-U1357A,IODP,318,U1357,A,Southern Ocean,140.425,-66.4133,"Jan 3, 2010","Mar 8, 2010",1019.42,21,186.6,186.6,0,98.54501608,NA,clast-rich sandy conglomerate,185.71,,,http://publications.iodp.org/preliminary_report/318/,,1,0,0,0
IODP 318-U1357B,IODP,318,U1357,B,Southern Ocean,140.426,-66.4133,"Jan 3, 2010","Mar 8, 2010",1021.52,19,170.7,170.7,0,101.0193322,NA,silty clay bearing diatom ooze and silty clay with common clasts,170.77,,,http://publications.iodp.org/preliminary_report/318/,,1,0,0,0
IODP 318-U1357C,IODP,318,U1357,C,Southern Ocean,140.424,-66.4134,"Jan 3, 2010","Mar 8, 2010",1020.52,11,103.8,103.8,0,106.6570328,NA,diatom ooze,104.48,,,http://publications.iodp.org/preliminary_report/318/,,1,0,0,0
IODP 318-U1358A,IODP,318,U1358,A,Southern Ocean,143.313,-66.0904,"Jan 3, 2010","Mar 8, 2010",503.52,1,2,2,0,55,NA,clast-rich sandy diamict,0.22,,,http://publications.iodp.org/preliminary_report/318/,,1,0,0,0
IODP 318-U1358B,IODP,318,U1358,B,Southern Ocean,143.313,-66.0904,"Jan 3, 2010","Mar 8, 2010",503.52,4,35.6,35.6,0,22.47191011,NA,diamictite clasts mixed sandy mud,28.3,,,http://publications.iodp.org/preliminary_report/318/,,1,0,0,0
IODP 318-U1359A,IODP,318,U1359,A,Southern Ocean,143.961,-64.904,"Jan 3, 2010","Mar 8, 2010",3014.52,22,193.5,193.5,0,79.63049096,NA,diatom-bearing silty clay,189,,,http://publications.iodp.org/preliminary_report/318/,,1,0,0,0
IODP 318-U1359B,IODP,318,U1359,B,Southern Ocean,143.961,-64.9041,"Jan 3, 2010","Mar 8, 2010",3012.42,28,252,252,0,78.94047619,NA,silty clay,242.8,,,http://publications.iodp.org/preliminary_report/318/,,1,0,0,0
IODP 318-U1359C,IODP,318,U1359,C,Southern Ocean,143.96,-64.9041,"Jan 3, 2010","Mar 8, 2010",3015.92,18,168.7,168.7,0,89.36277416,NA,diatom-bearing silty clay,168,,,http://publications.iodp.org/preliminary_report/318/,,1,0,0,0
IODP 318-U1359D,IODP,318,U1359,D,Southern Ocean,143.959,-64.9043,"Jan 3, 2010","Mar 8, 2010",3016.62,48,602.2,602.2,0,44.76668881,NA,silty clay,596,,,http://publications.iodp.org/preliminary_report/318/,,1,0,0,0
IODP 318-U1360A,IODP,318,U1360,A,Southern Ocean,142.745,-66.3673,"Jan 3, 2010","Mar 8, 2010",499.52,7,70.8,70.8,0,9.92937853,NA,carbonate-cement diamicte,53,,,http://publications.iodp.org/preliminary_report/318/,,1,0,0,0
IODP 318-U1361A,IODP,318,U1361,A,Southern Ocean,143.887,-64.4095,"Jan 3, 2010","Mar 8, 2010",3459.22,41,388,388,0,87.33376289,NA,diatom bearing to diatom rich silty clay,386.31,,,http://publications.iodp.org/preliminary_report/318/,,1,0,0,0
IODP 318-U1361B,IODP,318,U1361,B,Southern Ocean,143.887,-64.4091,"Jan 3, 2010","Mar 8, 2010",3460.52,2,12.1,12.1,0,99.50413223,NA,diatom bearing silty clay and diatom rich silty clay,12,,,http://publications.iodp.org/preliminary_report/318/,,1,0,0,0
IODP 339-U1391A,IODP,339,U1391,A,North Atlantic Ocean,-9.411,37.359,"Nov 16, 2011","Jan 16, 2012",1073.68,38,353.1,353.1,0,97.03200227,Pleistocene,calcareous mud,343.5,,,http://publications.iodp.org/preliminary_report/339/,,1,0,0,0
IODP 339-U1391B,IODP,339,U1391,B,North Atlantic Ocean,-9.41101,37.3588,"Nov 16, 2011","Jan 16, 2012",1073.28,38,353.5,353.5,0,98.14144272,Pleistocene,calcareous mud,347.9,,,http://publications.iodp.org/preliminary_report/339/,,1,0,0,0
IODP 339-U1391C,IODP,339,U1391,C,North Atlantic Ocean,-9.41078,37.3588,"Nov 16, 2011","Jan 16, 2012",1073.28,36,671.5,671.5,0,40.06254654,Pliocene,calcareous mud and calcareous silty mud,661.8,,,http://publications.iodp.org/preliminary_report/339/,,1,0,0,0
IODP 342-U1402A,IODP,342,U1402,A,North Atlantic Ocean,-72.2758,39.2253,"Jun 1, 2012","Jul 30, 2012",638.59,1,96.4,96.4,0,0,NA,,N/A,,,http://publications.iodp.org/preliminary_report/342/,,1,0,0,0
IODP 342-U1402B,IODP,342,U1402,B,North Atlantic Ocean,-72.2756,39.2253,"Jun 1, 2012","Jul 30, 2012",639.11,2,15,15,0,100.3333333,Pleistocene,silty clay,7,,,http://publications.iodp.org/preliminary_report/342/,,1,0,0,0
IODP 349-U1432A,IODP,349,U1432,A,South China Sea,116.391,18.3518,"Jan 26, 2014","Mar 30, 2014",3829,1,62,62,0.77,0,Pleistocene,clay,110,,,http://publications.iodp.org/preliminary_report/349/,100,1,0,1,0
IODP 349-U1432B,IODP,349,U1432,B,South China Sea,116.391,18.3518,"Jan 26, 2014","Mar 30, 2014",3828.98,4,800,800,0.08,0,NA,,N/A,,,http://publications.iodp.org/preliminary_report/349/,100,1,0,1,0
IODP 349-U1432C,IODP,349,U1432,C,South China Sea,116.391,18.3514,"Jan 26, 2014","Mar 30, 2014",3829.04,12,110,110,22.42,80.67272727,Early Pleistocene,clay with interbedded silt,109.93,,,http://publications.iodp.org/preliminary_report/349/,100,1,0,1,0
IODP 353-U1444A,IODP,353,U1444,A,Bay of Bengal,84.829,14.0001,"Dec 24, 2014","Dec 27, 2014",3143.4,37,330.6,330.6,226.05,68.37568058,NA,,N/A,,,http://publications.iodp.org/preliminary_report/353/353PR.PDF,,0,0,0,0
IODP 353-U1444B,IODP,353,U1444,B,Bay of Bengal,84.829,13.9999,"Dec 27, 2014","Dec 28, 2014",3142.5,10,128.6,128.6,74.16,57.66718507,NA,,N/A,,,http://publications.iodp.org/preliminary_report/353/353PR.PDF,,0,0,0,0
IODP 353-U1445A,IODP,353,U1445,A,Bay of Bengal,84.7875,17.7453,"Jan 1, 2015","Jan 7, 2015",2513.1,77,672.6,672.6,666.4,99.07820398,NA,,N/A,,,http://publications.iodp.org/preliminary_report/353/353PR.PDF,,0,0,0,0
IODP 353-U1445B,IODP,353,U1445,B,Bay of Bengal,84.7875,17.7452,"Jan 7, 2015","Jan 7, 2015",2514.5,4,33,33,33.36,101.0909091,NA,,N/A,,,http://publications.iodp.org/preliminary_report/353/353PR.PDF,,0,0,0,0
IODP 353-U1445C,IODP,353,U1445,C,Bay of Bengal,84.7873,17.7452,"Jan 7, 2015","Jan 10, 2015",2513.5,36,305.2,305.2,305.6,100.1310616,NA,,N/A,,,http://publications.iodp.org/preliminary_report/353/353PR.PDF,,0,0,0,0
IODP 353-U1446A,IODP,353,U1446,A,Bay of Bengal,85.7348,19.0835,"Jan 10, 2015","Jan 11, 2015",1441.2,21,180,180,186.63,103.6833333,NA,,N/A,,,http://publications.iodp.org/preliminary_report/353/353PR.PDF,,0,0,0,0
IODP 353-U1446B,IODP,353,U1446,B,Bay of Bengal,85.7346,19.0835,"Jan 11, 2015","Nov 11, 2015",1440.5,3,27.1,27.1,27.2,100.3690037,NA,,N/A,,,http://publications.iodp.org/preliminary_report/353/353PR.PDF,,0,0,0,0
IODP 353-U1446C,IODP,353,U1446,C,Bay of Bengal,85.7346,19.0837,"Jan 12, 2015","Jan 12, 2015",1441.1,23,182,182,180.55,99.2032967,NA,,N/A,,,http://publications.iodp.org/preliminary_report/353/353PR.PDF,,0,0,0,0
IODP 354-U1449A,IODP,354,U1449,A,Bay of Bengal,88.11,8.00699,"Feb 7, 2015","Feb 10, 2015",3654.7,38,213.5,213.5,129.38,60.59953162,NA,,N/A,,,http://publications.iodp.org/preliminary_report/354/354PR.PDF,46,1,0,1,0
IODP 354-U1449B,IODP,354,U1449,B,Bay of Bengal,88.1102,8.00701,"Feb 10, 2015","Feb 10, 2015",3651.9,1,7.9,7.9,7.91,100.1265823,NA,,N/A,,,http://publications.iodp.org/preliminary_report/354/354PR.PDF,46,1,0,1,0
IODP 354-U1450A,IODP,354,U1450,A,Bay of Bengal,87.6708,8.007,"Feb 11, 2015","Feb 17, 2015",3655.3,137,687.4,687.4,282.73,41.13034623,NA,,N/A,,,http://publications.iodp.org/preliminary_report/354/354PR.PDF,46,1,0,1,0
IODP 354-U1450B,IODP,354,U1450,B,Bay of Bengal,87.671,8.00699,"Mar 7, 2015","Mar 11, 2015",3655.4,22,811.9,811.9,46.67,5.74824486,NA,,N/A,,,http://publications.iodp.org/preliminary_report/354/354PR.PDF,46,1,0,1,0
IODP 354-U1451A,IODP,354,U1451,A,Bay of Bengal,88.7417,8.00699,"Feb 17, 2015","Feb 22, 2015",3607.3,111,582.1,582.1,337.8,58.08967531,NA,,N/A,,,http://publications.iodp.org/preliminary_report/354/354PR.PDF,46,1,0,1,0
IODP 354-U1451B,IODP,354,U1451,B,Bay of Bengal,88.7412,8.007,"Feb 24, 2015","Mar 7, 2015",3607.2,74,1181.3,1181.3,180.86,15.31025142,NA,,N/A,,,http://publications.iodp.org/preliminary_report/354/354PR.PDF,46,1,0,1,0
IODP 354-U1452A,IODP,354,U1452,A,Bay of Bengal,87.1817,8.00699,"Mar 11, 2015","Mar 12, 2015",367035,1,8,8,8.03,100.375,NA,,N/A,,,http://publications.iodp.org/preliminary_report/354/354PR.PDF,46,1,0,1,0
IODP 354-U1452B,IODP,354,U1452,B,Bay of Bengal,87.1819,8.00699,"Mar 12, 2015","Mar 14, 2015",3670.3,43,217.7,217.7,138.21,63.48644924,NA,,N/A,,,http://publications.iodp.org/preliminary_report/354/354PR.PDF,46,1,0,1,0
IODP 354-U1452C,IODP,354,U1452,C,Bay of Bengal,87.1819,8.00681,"Mar 14, 2015","Mar 14, 2015",3671.5,6,41.3,41.3,33.3,80.62953995,NA,,N/A,,,http://publications.iodp.org/preliminary_report/354/354PR.PDF,46,1,0,1,0
IODP 354-U1453A,IODP,354,U1453,A,Bay of Bengal,86.7916,8.00699,"Mar 14, 2015","Mar 18, 2015",3679.5,43,215.7,215.7,164.78,76.39313862,NA,,N/A,,,http://publications.iodp.org/preliminary_report/354/354PR.PDF,46,1,0,1,0
IODP 354-U1454A,IODP,354,U1454,A,Bay of Bengal,85.85,8.01083,"Mar 18, 2015","Mar 18, 2015",3709.9,1,7.5,7.5,7.54,100.5333333,NA,,N/A,,,http://publications.iodp.org/preliminary_report/354/354PR.PDF,46,1,0,1,0
IODP 354-U1454B,IODP,354,U1454,B,Bay of Bengal,85.85,8.0068,"Mar 19, 2015","Mar 19, 2015",3710.3,32,161.8,161.8,129.51,80.04326329,NA,,N/A,,,http://publications.iodp.org/preliminary_report/354/354PR.PDF,46,1,0,1,0
IODP 354-U1454C,IODP,354,U1454,C,Bay of Bengal,85.8501,8.00661,"Mar 20, 2015","Mar 21, 2015",3710.3,6,37.2,37.2,30.16,80.34946237,NA,,N/A,,,http://publications.iodp.org/preliminary_report/354/354PR.PDF,46,1,0,1,0
IODP 354-U1454D,IODP,354,U1454,D,Bay of Bengal,85.8499,8.00662,"Mar 20, 2015","Mar 21, 2015",3710.7,5,37.1,37.1,24.46,65.92991914,NA,,N/A,,,http://publications.iodp.org/preliminary_report/354/354PR.PDF,46,1,0,1,0
IODP 354-U1455A,IODP,354,U1455,A,Bay of Bengal,86.2833,8.00698,"Mar 21, 2015","Mar 22, 2015",3732.5,1,0.9,0.9,0.9,100,NA,,N/A,,,http://publications.iodp.org/preliminary_report/354/354PR.PDF,46,1,0,1,0
IODP 354-U1455B,IODP,354,U1455,B,Bay of Bengal,86.2835,8.007,"Mar 22, 2015","Mar 22, 2015",3733,1,6.9,6.9,6.88,99.71014493,NA,,N/A,,,http://publications.iodp.org/preliminary_report/354/354PR.PDF,46,1,0,1,0
IODP 354-U1455C,IODP,354,U1455,C,Bay of Bengal,86.2835,8.0068,"Mar 22, 2015","Mar 29, 2015",3732.5,60,949,949,198,20.86617492,NA,,N/A,,,http://publications.iodp.org/preliminary_report/354/354PR.PDF,46,1,0,1,0
IODP 356-U1458A,IODP,356,U1458,A,Indian Ocean,113.578,-28.6641,"Aug 5, 2015","Aug 5, 2015",156.7,4,10,10,3.72,37.2,NA,,N/A,,,http://publications.iodp.org/preliminary_report/356/356PR.PDF,,1,1,0,1
IODP 356-U1459A,IODP,356,U1459,A,Indian Ocean,113.559,-28.671,"Aug 5, 2015","Aug 6, 2015",192,14,70.3,70.3,30.59,43.51351351,NA,,N/A,,,http://publications.iodp.org/preliminary_report/356/356PR.PDF,39,1,1,1,1
IODP 356-U1459B,IODP,356,U1459,B,Indian Ocean,113.559,-28.6709,"Aug 7, 2015","Aug 8, 2015",192,50,233,233,171.77,73.77253219,NA,,N/A,,,http://publications.iodp.org/preliminary_report/356/356PR.PDF,39,1,1,1,1
IODP 356-U1459C,IODP,356,U1459,C,Indian Ocean,113.559,-28.6707,"Aug 9, 2015","Aug 12, 2015",180,42,400,400,N/A,6.3125,NA,,N/A,,,http://publications.iodp.org/preliminary_report/356/356PR.PDF,39,1,1,1,1
IODP 356-U1460A,IODP,356,U1460,A,Indian Ocean,112.924,-27.3749,"Aug 12, 2015","Aug 15, 2015",214.5,65,300.1,300.1,291.39,97.09763412,NA,,N/A,,,http://publications.iodp.org/preliminary_report/356/356PR.PDF,40,1,1,1,1
IODP 356-U1460B,IODP,356,U1460,B,Indian Ocean,112.924,-27.3748,"Aug 12, 2015","Aug 15, 2015",214.5,68,306.6,306.6,5.02,98.11154599,NA,,N/A,,,http://publications.iodp.org/preliminary_report/356/356PR.PDF,40,1,1,1,1
IODP 356-U1461A,IODP,356,U1461,A,Indian Ocean,115.066,-20.2144,"Aug 17, 2015","Aug 18, 2015",127.2,42,284.7,284.7,287.55,101.0151036,NA,,N/A,,,http://publications.iodp.org/preliminary_report/356/356PR.PDF,41,1,1,1,1
IODP 356-U1461B,IODP,356,U1461,B,Indian Ocean,115.066,-20.2142,"Aug 18, 2015","Aug 23, 2015",128,129,879.2,879.2,708.46,84.53594177,NA,,N/A,,,http://publications.iodp.org/preliminary_report/356/356PR.PDF,41,1,1,1,1
IODP 356-U1461C,IODP,356,U1461,C,Indian Ocean,115.066,-20.214,"Aug 23, 2015","Aug 25, 2015",127.5,73,443.9,443.9,448.53,101.0430277,NA,,N/A,,,http://publications.iodp.org/preliminary_report/356/356PR.PDF,41,1,1,1,1
IODP 356-U1461D,IODP,356,U1461,D,Indian Ocean,115.066,-20.2139,"Aug 25, 2015","Aug 28, 2015",N/A,61,1095.3,1095.3,325.51,29.7187985,NA,,N/A,,,http://publications.iodp.org/preliminary_report/356/356PR.PDF,41,1,1,1,1
IODP 356-U1462A,IODP,356,U1462,A,Indian Ocean,115.71,-19.8214,"Aug 30, 2015","Sep 3, 2015",95.6,100,855,855,321.65,37.49005848,NA,,N/A,,,http://publications.iodp.org/preliminary_report/356/356PR.PDF,42,1,1,1,1
IODP 356-U1462B,IODP,356,U1462,B,Indian Ocean,115.71,-19.8213,"Sep 4, 2015","Sep 4, 2015",87,9,52.3,52.3,1.99,3.80497132,NA,,N/A,,,http://publications.iodp.org/preliminary_report/356/356PR.PDF,42,1,1,1,1
IODP 356-U1462C,IODP,356,U1462,C,Indian Ocean,115.71,-19.8213,"Sep 5, 2015","Sep 10, 2015",87,178,950,950,398.29,41.92526316,NA,,N/A,,,http://publications.iodp.org/preliminary_report/356/356PR.PDF,42,1,1,1,1
IODP 356-U1463A,IODP,356,U1463,A,Indian Ocean,117.624,-18.9653,"Sep 12, 2015","Sep 12, 2015",145.8,2,19.4,19.4,7.88,44.27835052,NA,,N/A,,,http://publications.iodp.org/preliminary_report/356/356PR.PDF,43,1,1,1,1
IODP 356-U1463B,IODP,356,U1463,B,Indian Ocean,117.624,-18.9653,"Sep 12, 2015","Sep 15, 2015",N/A,60,530,530,399,75.28301887,NA,,N/A,,,http://publications.iodp.org/preliminary_report/356/356PR.PDF,43,1,1,1,1
IODP 356-U1463C,IODP,356,U1463,C,Indian Ocean,117.624,-18.9655,"Sep 16, 2015","Sep 17, 2015",144.8,61,392.2,392.2,397.34,101.3105558,NA,,N/A,,,http://publications.iodp.org/preliminary_report/356/356PR.PDF,43,1,1,1,1
IODP 356-U1463D,IODP,356,U1463,D,Indian Ocean,117.624,-18.9655,"Sep 17, 2015","Sep 18, 2015",144.5,47,352.8,352.8,346.61,98.24546485,NA,,N/A,,,http://publications.iodp.org/preliminary_report/356/356PR.PDF,43,1,1,1,1
IODP 356-U1464A,IODP,356,U1464,A,Indian Ocean,118.631,-18.0652,"Sep 19, 2015","Sep 19, 2015",260,2,19.4,19.4,0,0,NA,,N/A,,,http://publications.iodp.org/preliminary_report/356/356PR.PDF,44,1,1,1,1
IODP 356-U1464B,IODP,356,U1464,B,Indian Ocean,118.632,-18.0652,"Sep 19, 2015","Sep 20, 2015",264.3,35,316.9,316.9,292.27,92.22783212,NA,,N/A,,,http://publications.iodp.org/preliminary_report/356/356PR.PDF,44,1,1,1,1
IODP 356-U1464C,IODP,356,U1464,C,Indian Ocean,118.632,-18.0654,"Sep 20, 2015","Sep 24, 2015",264.7,56,840,840,94.03,11.19404762,NA,,N/A,,,http://publications.iodp.org/preliminary_report/356/356PR.PDF,44,1,1,1,1
IODP 356-U1464D,IODP,356,U1464,D,Indian Ocean,118.631,-18.0654,"Sep 24, 2015","Sep 26, 2015",264.7,58,529.6,529.6,300.74,56.78625378,NA,,N/A,,,http://publications.iodp.org/preliminary_report/356/356PR.PDF,44,1,1,1,1
IODP 361-U1476A,IODP,361,U1476,A,Mozambique Channel,41.7687,-15.8209,"Mar 8, 2016","Mar 9, 2016",2176.8,24,224.2,224.2,232.9,103.8804639,NA,,N/A,,,http://publications.iodp.org/preliminary_report/361/361PR.PDF,38,1,0,1,1
IODP 361-U1476B,IODP,361,U1476,B,Mozambique Channel,41.7687,-15.8207,"Mar 9, 2016","Mar 9, 2016",2177.6,16,148.4,148.4,154.42,104.0566038,NA,,N/A,,,http://publications.iodp.org/preliminary_report/361/361PR.PDF,38,1,0,1,1
IODP 361-U1476C,IODP,361,U1476,C,Mozambique Channel,41.7689,-15.8209,"Mar 9, 2016","Mar 9, 2016",2176.6,1,5.7,5.7,5.72,100.3508772,NA,,N/A,,,http://publications.iodp.org/preliminary_report/361/361PR.PDF,38,1,0,1,1
IODP 361-U1476D,IODP,361,U1476,D,Mozambique Channel,41.7689,-15.8209,"Mar 9, 2016","Mar 10, 2016",2176.6,25,229,229,237.02,103.5021834,NA,,N/A,,,http://publications.iodp.org/preliminary_report/361/361PR.PDF,38,1,0,1,1
IODP 361-U1476E,IODP,361,U1476,E,Mozambique Channel,41.7687,-15.8211,"Mar 10, 2016","Mar 12, 2016",2176.3,25,234.8,234.8,243.77,103.8202726,NA,,N/A,,,http://publications.iodp.org/preliminary_report/361/361PR.PDF,38,1,0,1,1
IODP 361-U1477A,IODP,361,U1477,A,Mozambique Channel,36.9149,-19.3549,"Mar 13, 2016","Mar 14, 2016",440.4,27,181.2,181.2,182.53,100.7339956,NA,,N/A,,,http://publications.iodp.org/preliminary_report/361/361PR.PDF,38,1,0,1,1
IODP 361-U1477B,IODP,361,U1477,B,Mozambique Channel,36.9149,-19.3547,"Mar 14, 2016","Mar 14, 2016",440.8,26,174.4,174.4,185.73,106.4965596,NA,,N/A,,,http://publications.iodp.org/preliminary_report/361/361PR.PDF,38,1,0,1,1
IODP 361-U1477C,IODP,361,U1477,C,Mozambique Channel,36.9151,-19.3549,"Mar 14, 2016","Mar 15, 2016",440.4,17,119.4,119.4,121.75,101.9681742,NA,,N/A,,,http://publications.iodp.org/preliminary_report/361/361PR.PDF,38,1,0,1,1
IODP 361-U1478A,IODP,361,U1478,A,Mozambique Channel,34.7693,-25.821,"Mar 17, 2016","Mar 17, 2016",499.2,32,248.4,248.4,256.96,103.4460548,NA,,N/A,,,http://publications.iodp.org/preliminary_report/361/361PR.PDF,38,1,0,1,1
IODP 361-U1478B,IODP,361,U1478,B,Mozambique Channel,34.7693,-25.8208,"Mar 17, 2016","Mar 17, 2016",499.2,34,247.3,247.3,246.85,99.81803478,NA,,N/A,,,http://publications.iodp.org/preliminary_report/361/361PR.PDF,38,1,0,1,1
IODP 361-U1478C,IODP,361,U1478,C,Mozambique Channel,34.7695,-25.821,"Mar 18, 2016","Mar 19, 2016",501.2,38,248.3,248.3,242.32,97.59162304,NA,,N/A,,,http://publications.iodp.org/preliminary_report/361/361PR.PDF,38,1,0,1,1
IODP 361-U1478D,IODP,361,U1478,D,Mozambique Channel,34.7693,-25.8212,"Mar 19, 2016","Mar 19, 2016",502,24,216,216,175.97,81.46759259,NA,,N/A,,,http://publications.iodp.org/preliminary_report/361/361PR.PDF,38,1,0,1,1
IODP 361-U1479A,IODP,361,U1479,A,South Atlantic Ocean,17.401,-35.0588,"Mar 24, 2016","Mar 24, 2016",2629.9,1,1,1,1.01,101,NA,,N/A,,,http://publications.iodp.org/preliminary_report/361/361PR.PDF,38,1,0,1,1
IODP 361-U1479B,IODP,361,U1479,B,South Atlantic Ocean,17.401,-35.0588,"Mar 24, 2016","Mar 25, 2016",2629.7,32,300.7,300.7,296.73,98.67974726,NA,,N/A,,,http://publications.iodp.org/preliminary_report/361/361PR.PDF,38,1,0,1,1
IODP 361-U1479C,IODP,361,U1479,C,South Atlantic Ocean,17.401,-35.0586,"Mar 25, 2016","Mar 27, 2016",2629.7,32,295.5,295.5,303.69,102.7715736,NA,,N/A,,,http://publications.iodp.org/preliminary_report/361/361PR.PDF,38,1,0,1,1
IODP 361-U1479D,IODP,361,U1479,D,South Atlantic Ocean,17.4013,-35.0588,"Mar 27, 2016","Mar 27, 2016",2626.5,12,103.4,103.4,102.15,98.79110251,NA,,N/A,,,http://publications.iodp.org/preliminary_report/361/361PR.PDF,38,1,0,1,1
IODP 361-U1479E,IODP,361,U1479,E,South Atlantic Ocean,17.401,-35.059,"Mar 28, 2016","Mar 28, 2016",2626.5,18,276.5,276.5,148.17,53.58770344,NA,,N/A,,,http://publications.iodp.org/preliminary_report/361/361PR.PDF,38,1,0,1,1
IODP 361-U1479F,IODP,361,U1479,F,South Atlantic Ocean,17.4008,-35.0588,"Mar 29, 2016","Mar 29, 2016",2626.7,1,9.5,9.5,9.5,100,NA,,N/A,,,http://publications.iodp.org/preliminary_report/361/361PR.PDF,38,1,0,1,1
IODP 361-U1479G,IODP,361,U1479,G,South Atlantic Ocean,17.4008,-35.0588,"Mar 29, 2016","Mar 29, 2016",2623.9,1,9.3,9.3,9.29,99.89247312,NA,,N/A,,,http://publications.iodp.org/preliminary_report/361/361PR.PDF,38,1,0,1,1
IODP 361-U1479H,IODP,361,U1479,H,South Atlantic Ocean,17.4008,-35.0588,"Mar 29, 2016","Mar 29, 2016",2624.6,10,85.6,85.6,70.75,82.65186916,NA,,N/A,,,http://publications.iodp.org/preliminary_report/361/361PR.PDF,38,1,0,1,1
IODP 361-U1479I,IODP,361,U1479,I,South Atlantic Ocean,17.4008,-35.0588,"Mar 29, 2016","Mar 29, 2016",2624.8,5,69.5,69.5,21.79,31.35251799,NA,,N/A,,,http://publications.iodp.org/preliminary_report/361/361PR.PDF,38,1,0,1,1
ODP 101-626A,ODP,101,626,A,North Atlantic Ocean,-79.5468,25.6,"Jan 12, 1985","Jan 17, 1985",846.8,2,12.8,12.8,111.34,39.140625,Pleistocene,lime sand and rubble,11.4,,,http://www-odp.tamu.edu/publications/prelim/100PREL.PDF,,1,0,0,0
ODP 101-626B,ODP,101,626,B,North Atlantic Ocean,-79.5468,25.6006,"Jan 18, 1985","Jan 20, 1985",860,5,147.3,19.2,27.85,73.38541667,Early Miocene,unlithified grainstone and packstone,185.5,,,http://www-odp.tamu.edu/publications/prelim/100PREL.PDF,,1,0,0,0
