Well_Name,Program,Expedition,Site,Hole,Oceanic_Region,Longitude,Latitude,Spud_Date,Completion_Date,Water_Depth_(m),Number_of_Cores,Total_Penetration_(mbsf),Interval_Cored_(m),Core_Recovered_(m),%_Recovered,Reported_Age_of_Oldest_Sediment_Recovered,Oldest_Sediment_Lithology,Oldest_Sediment_Subbottom_Depth,EGI_Synthesized,Well_Logging,Data_Source,depth_age_model_page_from_data_source,Lithology,Paleowater_depth,Depth-Age_model,fossiol_zones,Notes_on_data_source_info,Data_files_filled:,litho,paleodepth,model,location,Paleodepth_data_quality_(1_to_3)***,Depth_age_model_from_NSB
ODP 166-1004,ODP,166,1004,A,North Atlantic Ocean,-79.2492,24.5547,"Mar 6, 1996","Mar 7, 1996",418.9,23,200,200,107.97,58.745,early Pliocene,Unlithified to partially lithified wackestones and mudstones with intercalations of coarser grained packstones and floatstones,200,,,http://www-odp.tamu.edu/publications/166IR/CHAP_07.PDF,7,1,1,1,1,,,1,1,,1,2,0
ODP 166-1005,ODP,166,1005,A,North Atlantic Ocean,-79.2357,24.5629,"Mar 7, 1996","Mar 10, 1996",350.7,53,462.4,462.4,73.96,32.34861592,late Miocene,Partially dolomitized foraminifer wackestones with moderate to heavy bioturbation,462.4,,,http://www-odp.tamu.edu/publications/166IR/CHAP_08.PDF,14,1,1,1,1,,,1,1,,1,2,0
ODP 166-1006,ODP,166,1006,A,North Atlantic Ocean,-79.459,24.3998,"Mar 15, 1996","Mar 19, 1996",657.9,77,717.3,717.3,19.53,90.18959989,middle Miocene,Alternating light greenish gray to olive and light gray nannofossil chalk with foraminifers,717.3,,,http://www-odp.tamu.edu/publications/166IR/CHAP_09.PDF,14,1,0,1,1,,,1,1,,1,2,0
ODP 166-1007,ODP,166,1007,A,North Atlantic Ocean,-79.3223,24.5044,"Mar 24, 1996","Mar 24, 1996",650.3,1,6.6,6.6,303.65,100.7575758,Pleistocene,Nannofossil ooze and unlithified wackestones and packstones,6.65,,,http://www-odp.tamu.edu/publications/166IR/CHAP_10.PDF,19,1,0,1,1,,,1,1,,1,2,0
ODP 171-1053,ODP,171,1053,A,North Atlantic Ocean,-76.5236,29.9923,"Feb 6, 1997","Feb 7, 1997",1629.5,20,183.2,183.2,194.95,103.4388646,middle Eocene,nannofossil chalk,183.2,,,http://www-odp.tamu.edu/publications/171B_IR/CHAP_07.PDF,7,1,1,1,1,,,1,1,,1,2,0
ODP 174-1071,ODP,174,1071,A,North Atlantic Ocean,-72.728,39.3824,"Jun 23, 1997","Jun 24, 1997",88.2,10,51.9,51.9,66.34,55.58766859,Holocene to Pleistocene,"Dark gray to dark greenish gray clay, dark gray silty clay and clayey silt, and olive gray to dark olive sand",51.9,,,http://www-odp.tamu.edu/publications/174A_IR/CHAPTERS/CHAP_03.PDF,,1,1,0,1,,,1,1,,1,2,0
ODP 174-1072,ODP,174,1072,A,North Atlantic Ocean,-72.6946,39.3656,"Jun 29, 1997","Jul 2, 1997",98.1,56,306.8,306.8,129.9,49.50130378,early Pliocene to late Miocene,"Olive gray micaceous sandy silt, dark gray silty clay, dark gray micaceous muddy sand, and dark greenish gray glauconitic sandy silts and sandstones",274.38,,,http://www-odp.tamu.edu/publications/174A_IR/CHAPTERS/CHAP_04.PDF,,1,1,0,1,,,1,1,,1,2,0
ODP 174-1073,ODP,174,1073,A,North Atlantic Ocean,-72.2758,39.2254,"Jul 13, 1997","Jul 17, 1997",639.4,72,663.6,663.6,502.01,99.90657022,late Eocene,"Light olive gray, diatom- and clay-rich nannofossil chalk, and olive gray diatom-rich nannofossil clay",663.6,,,http://www-odp.tamu.edu/publications/174A_IR/CHAPTERS/CHAP_05.PDF,,1,1,0,1,,,1,1,,1,3,0
ODP 181-1119,ODP,181,1119,A,South Pacific Ocean,172.393,-44.7555,"Aug 22, 1998","Aug 22, 1998",395.5,1,6,6,79.08,100.1666667,late to middle Pleistocene,silty clay interbedded with silty sand and sandy silt,6.01,,,http://www-odp.tamu.edu/publications/181_IR/VOLUME/CHAPTERS/IR181_03.PDF,53,1,0,1,0,,,1,1,,1,3,0
ODP 181-1120,ODP,181,1120,A,South Pacific Ocean,173.372,-50.0634,"Aug 27, 1998","Aug 27, 1998",542.9,1,4.6,4.6,322.89,100,late Pleistocene,foraminifer nannofossil ooze/nannofossil foraminifer ooze,4.6,,,http://www-odp.tamu.edu/publications/181_IR/VOLUME/CHAPTERS/IR181_04.PDF,31,1,0,1,1,,,1,1,,1,3,0
ODP 182-1126,ODP,182,1126,A,Great Australian Bight,128.067,-33.5093,"Oct 25, 1998","Oct 25, 1998",784.8,1,9.5,9.5,198.17,102,Pleistocene,calcareous nannofossil ooze with planktonic foraminifers,9.5,,,http://www-odp.tamu.edu/publications/182_IR/VOLUME/CHAPTERS/IR182_04.PDF,54,1,1,1,1,,,1,1,,1,3,0
ODP 182-1127,ODP,182,1127,A,Great Australian Bight,128.481,-33.3574,"Oct 30, 1998","Oct 30, 1998",478.7,1,9.5,9.5,603.85,101.8947368,Pleistocene,calcareous ooze with nannofossils and planktonic foraminifera,9.68,,,http://www-odp.tamu.edu/publications/182_IR/VOLUME/CHAPTERS/IR182_05.PDF,36,1,1,1,1,,,1,1,,1,3,0
ODP 182-1128,ODP,182,1128,A,Great Australian Bight,127.591,-34.3912,"Nov 3, 1998","Nov 3, 1998",3876,1,9.5,9.5,606.16,98,Pleistocene-early Oligocene,nannofossil ooze,9.5,,,http://www-odp.tamu.edu/publications/182_IR/VOLUME/CHAPTERS/IR182_06.PDF,55,1,1,1,1,,,1,1,,1,3,0
ODP 182-1129,ODP,182,1129,A,Great Australian Bight,128.481,-33.2898,"Nov 11, 1998","Nov 11, 1998",202.9,3,23.3,13.8,632.07,96.15942029,Pleistocene,bioclastic packstone and grainstone with chert,23.3,,,http://www-odp.tamu.edu/publications/182_IR/VOLUME/CHAPTERS/IR182_07.PDF,41,1,1,1,1,,,1,1,,1,3,0
ODP 182-1130,ODP,182,1130,A,Great Australian Bight,127.602,-33.4202,"Nov 12, 1998","Nov 13, 1998",486.7,41,380.4,380.4,101.75,82.1424816,late Eocene,calcareous sandstone,369.87,,,http://www-odp.tamu.edu/publications/182_IR/VOLUME/CHAPTERS/IR182_08.PDF,42,1,1,1,1,,,1,1,,1,3,0
ODP 182-1131,ODP,182,1131,A,Great Australian Bight,128.481,-33.3261,"Nov 16, 1998","Nov 18, 1998",333.4,66,616.9,616.9,3.59,60.26260334,early Miocene,bioclastic grainstone,616.9,,,http://www-odp.tamu.edu/publications/182_IR/VOLUME/CHAPTERS/IR182_09.PDF,33,1,1,1,1,,,1,1,,1,3,0
ODP 182-1132,ODP,182,1132,A,Great Australian Bight,127.602,-33.316,"Nov 21, 1998","Nov 21, 1998",218,1,9.3,9.3,11.91,99.24731183,NA,,N/A,,,http://www-odp.tamu.edu/publications/182_IR/VOLUME/CHAPTERS/IR182_10.PDF,48,1,1,1,1,,,1,1,,1,3,0
ODP 182-1133,ODP,182,1133,A,Great Australian Bight,128.905,-33.5395,"Nov 27, 1998","Nov 27, 1998",1037.2,1,9.5,9.5,6.3,102.9473684,late Pleistocene,calcareous ooze,6.87,,,http://www-odp.tamu.edu/publications/182_IR/VOLUME/CHAPTERS/IR182_11.PDF,24,1,0,1,1,,,1,1,,1,3,0
ODP 182-1134,ODP,182,1134,A,Great Australian Bight,127.264,-33.5287,"Dec 1, 1998","Dec 2, 1998",701,43,397.1,397.1,11.7,49.24200453,middle Eocene,limonitic sandstone with siliclastic components,397.1,,,http://www-odp.tamu.edu/publications/182_IR/VOLUME/CHAPTERS/IR182_12.PDF,36,1,1,1,1,,,1,1,,1,3,0
ODP 188-1165,ODP,188,1165,A,Southern Ocean,67.219,-64.3796,"Jan 28, 2000","Jan 29, 2000",3537,1,5.4,5.4,0,100.5555556,Pleistocene to early Pliocene,diatom ooze and diatom clay,63.8,,,http://www-odp.tamu.edu/publications/188_IR/VOLUME/CHAPTERS/IR188_03.PDF,112,1,0,0,1,,,1,1,,1,3,0
ODP 188-1166,ODP,188,1166,A,Southern Ocean,74.7869,-67.6962,"Feb 16, 2000","Feb 21, 2000",475.4,40,381.3,381.3,0.4,18.7018096,Turonian (Late Cretaceous),claystone with very fine laminations and very fine sandy silt,342.96,,,http://www-odp.tamu.edu/publications/188_IR/VOLUME/CHAPTERS/IR188_04.PDF,67,1,1,1,1,,,1,0.5,,1,3,0
