Well Name,Program,Expedition,Site,Hole,Oceanic Region,Longitude,Latitude,Spud Date,Completion Date,Water Depth (m),Number of Cores,Total Penetration (mbsf),Interval Cored (m),Core Recovered (m),% Recovered,Reported Age of Oldest Sediment Recovered,Oldest Sediment Lithology,Oldest Sediment Subbottom Depth,EGI Synthesized,Well Logging,Data Source,depth age model page from data source,Lithology,Paleowater depth,Depth-Age model,fossiol zones,Notes on data source info,Data files filled:,litho,paleodepth,model,location,Paleodepth data quality (1 to 3)***,Depth age model from NSB
ODP 150-906,ODP,150,906,A,North Atlantic Ocean,-72.7666,38.9649,"Jul 14, 1993","Jul 18, 1993",912.9,68,602.4,602.4,219.99,84.94189907,upper Eocene,nannofossil clayey chalk,602.4,,,http://www-odp.tamu.edu/publications/150_IR/VOLUME/CHAPTERS/ir150_10.pdf,,1,0,0,1,,,1,1,1,1,2,1
ODP 152-915,ODP,152,915,A,North Atlantic Ocean,-39.7818,63.4714,"Oct 5, 1993","Oct 7, 1993",533.1,26,209.4,209.4,17.65,15.68290353,Eocene,volcanic clay with gravel,196.8,,,http://www-odp.tamu.edu/publications/152_IR/VOLUME/CHAPTERS/ir152_07.pdf,10,1,1,1,1,,,1,1,1,1,2,1
ODP 152-918,ODP,152,918,A,North Atlantic Ocean,-38.6389,63.0928,"Oct 26, 1993","Oct 28, 1993",1868.5,38,332.7,332.7,40.76,78.22963631,Pliocene,micritic mudstone and quartz silt with clay and gravel,332.7,,,http://www-odp.tamu.edu/publications/152_IR/VOLUME/CHAPTERS/ir152_11.pdf,50,1,1,1,1,,,1,1,1,1,2,1
ODP 159-961,ODP,159,961,A,Gulf of Guinea,-3.05855,3.44237,"Feb 4, 1995","Feb 7, 1995",3292,35,308.7,308.7,9.87,19.57240039,pre-late Paleocene; probably Aptian-Albian,clayey siltstone,308.7,,,http://www-odp.tamu.edu/publications/159_IR/VOLUME/CHAPTERS/ir159_07.pdf,,1,0,0,1,,,1,1,1,1,2,1
ODP 161-974,ODP,161,974,A,Tyrrhenian Sea,12.1418,40.3561,"May 7, 1995","May 7, 1995",3458.8,1,14.5,9.5,264.42,103.2631579,Pleistocene,Silty clay,9.5,,,http://www-odp.tamu.edu/publications/161_IR/VOLUME/CHAPTERS/ir161_04.pdf,22,1,0,1,1,,,1,1,1,1,3,1
ODP 161-975,ODP,161,975,A,Mediterranean Sea - Western Basin,4.50978,38.8966,"May 14, 1995","May 14, 1995",2416.7,1,9.5,9.5,458.26,104.4210526,Pleistocene,clay,9.5,,,http://www-odp.tamu.edu/publications/161_IR/VOLUME/CHAPTERS/ir161_05.pdf,,1,0,0,1,,,1,1,1,1,3,1
ODP 171-1049,ODP,171,1049,A,North Atlantic Ocean,-76.1122,30.1424,"Jan 13, 1997","Jan 13, 1997",2656.1,23,191.9,191.9,145.08,54.36164669,Aptian,Nannofossil chalk,191.9,,,http://www-odp.tamu.edu/publications/171B_IR/CHAP_03.PDF,24,1,1,1,1,,,1,1,1,1,2,1
ODP 171-1050,ODP,171,1050,A,North Atlantic Ocean,-76.235,30.1,"Jan 17, 1997","Jan 17, 1997",2299.8,36,319.9,319.9,166,91.80994061,late Paleocene,nannofossil chalk,319.9,,,http://www-odp.tamu.edu/publications/171B_IR/CHAP_04.PDF,29,1,1,1,1,,,1,1,1,1,2,1
ODP 171-1051,ODP,171,1051,A,North Atlantic Ocean,-76.3576,30.0529,"Jan 21, 1997","Jan 21, 1997",1982.7,74,644.6,636.3,95.91,94.27785636,late early Paleocene,claystone,644.6,,,http://www-odp.tamu.edu/publications/171B_IR/CHAP_05.PDF,20,1,1,1,1,,,1,1,1,1,2,1
ODP 171-1052,ODP,171,1052,A,North Atlantic Ocean,-76.6266,29.9515,"Jan 30, 1997","Jan 30, 1997",1344.5,21,174.5,174.5,177.74,91.47851003,late Paleocene,claystone,174.5,,,http://www-odp.tamu.edu/publications/171B_IR/CHAP_06.PDF,35,1,1,1,1,,,1,1,1,1,2,1
ODP 189-1168,ODP,189,1168,A,Great Australian Bight,144.413,-42.6097,"Mar 17, 2000","Mar 24, 2000",2463.3,95,883.5,883.5,173.99,94.71986418,late Eocene,silty claystone and nannofossil-bearing organic silty claystone,883.5,,,http://www-odp.tamu.edu/publications/189_IR/VOLUME/CHAPTERS/IR189_03.PDF,79,1,1,1,1,,,1,1,1,1,2,1
ODP 189-1172,ODP,189,1172,A,Tasman Sea,149.928,-43.9598,"Apr 23, 2000","Apr 26, 2000",2621.9,56,522.6,522.6,116.64,92.56027555,middle Eocene to early Paleocene,claystone,695.99,,,http://www-odp.tamu.edu/publications/189_IR/VOLUME/CHAPTERS/IR189_07.PDF,70,1,0,1,1,,,1,1,1,1,3,1
